"","1","2","3","4","5","6","7a","7b","7c","7d","8","9","10a","10b","11","12","13","14","15","16","17a","17b","18","19","20","21","22","24","26","28","30","33","34","35","36","37","38","39","40","R1","R2","R3","R4","R5","R6","R7","R8","R9"
"00b9d0e6-69dc-4345-bffd-ce32880c8eef",0.103863414743542,0,0,0,0.390652113307846,0,0,0,0,0,0,0.412946375533274,0,0,0,0,0,0,0,0,0,0,0.074601558691397,0,0,0,0,0,0,0,0,0,0.0179365377239412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"00bf0350-8c7c-4b9e-8143-13ea2dc1122f",0.0315755058282929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0686448184688105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.899779675702897,0,0,0,0,0,0,0,0,0
"00c27940-c623-11e3-bf01-24c6515278c0",0,0,0,0.283730601762535,0.440471278446107,0,0,0,0,0,0,0,0,0,0,0.191467014407219,0,0,0,0.0843311053841391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"00db1b95-8ca3-4cc4-bb46-6b8c8019a7c7",0.0577069785039225,0,0,0,0.221699491573567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0222278123630125,0,0,0,0,0,0.698365717559498,0,0,0,0,0,0,0,0,0
"00db4dc2-3ec7-4ff9-9233-d69c8c8a607f",0.0822811439758766,0.0842279888329138,0,0,0.602209664319672,0,0,0,0,0,0,0,0,0,0,0,0.124279766525258,0,0,0,0,0,0.0790231390485163,0,0,0,0,0,0,0,0,0,0.0279782972977635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01658141-8398-4585-9f0f-8355dd9b0604",0.0473211976457665,0.410931004550523,0,0,0.13279769469732,0,0,0,0,0,0,0,0,0,0,0,0.288894126399868,0,0,0,0,0,0.120055976706522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0168a2a6-c3af-4d58-a51c-d33f0fc7876d",0.0694917946034049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.930508205396595,0,0,0,0,0,0,0,0,0
"0176cf1d-0760-4769-a493-277f4bb7585e",0,0.0317845557246426,0,0.595335909610926,0.220917025255066,0,0,0,0,0,0,0,0,0,0,0,0.0241877824326145,0,0,0,0,0,0.12777472697675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0192d529-7340-45d8-a5f0-249cbb11ca19",0.196950395252684,0.0137894190431552,0,0,0.563656403981078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.110789851657387,0,0,0,0,0,0,0,0,0,0.0336786419206408,0,0,0,0,0.0811352881450542,0,0,0,0,0,0,0,0,0,0
"01b0848c-ae36-4ade-a3da-d297b003c99f",0.0583602347806999,0.0500858542771554,0.810593054319609,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0516343344571573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0293265221653783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
